REGISTERENHETID,BRUKSENHETSID,SALGS_DOKUMENTAAR,SALGSBELOEP,BRUKSAREAL,POSTNUMMER,GATENAVN,BEBYGDAREAL,BRUKSENHETSTYPEKODE,ANTALLROM,DOKUMENTDATO
862265782,6391086734,2021,8390000,137,9006,Juldagan,700,Bolig,4,28/06/2021
862265785,6391086733,2021,2190000,36,9006,Juldagan,700,Bolig,1,05/10/2021
862265788,6391086732,2021,6450000,95,9006,Juldagan,700,Bolig,4,30/06/2021
862265791,6391086811,2021,5617763,84,9006,Juldagan,700,Bolig,3,27/07/2021
862265794,6391086810,2021,3250000,56,9006,Juldagan,700,Bolig,2,30/06/2021
862265797,6391086739,2021,8550000,137,9006,Juldagan,700,Bolig,4,05/07/2021
862265800,6391086738,2021,2290000,36,9006,Juldagan,700,Bolig,1,05/07/2021
862265803,6391086737,2021,6910000,95,9006,Juldagan,700,Bolig,4,04/11/2021
862265806,6391086816,2021,5750000,84,9006,Juldagan,700,Bolig,3,05/07/2021
862265809,6391086815,2021,3290000,56,9006,Juldagan,700,Bolig,2,05/07/2021
862265812,6391086814,2021,8390000,138,9006,Juldagan,700,Bolig,4,28/06/2021
862265815,6391086813,2021,2290000,36,9006,Juldagan,700,Bolig,1,14/07/2021
862265818,6391086812,2021,6650000,96,9006,Juldagan,700,Bolig,4,24/06/2021
862265821,6391087151,2021,5850000,84,9006,Juldagan,700,Bolig,3,05/07/2021
862265824,6391087150,2021,3650000,56,9006,Juldagan,700,Bolig,2,28/06/2021
862265827,6391086819,2021,8750000,137,9006,Juldagan,700,Bolig,4,14/07/2021
862265830,6391086818,2021,2550000,36,9006,Juldagan,700,Bolig,1,27/07/2021
862265833,6391086817,2021,6810000,96,9006,Juldagan,700,Bolig,4,07/07/2021
862265836,6391087156,2021,5950000,84,9006,Juldagan,700,Bolig,3,07/07/2021
862265839,6391087155,2021,3750000,56,9006,Juldagan,700,Bolig,2,05/07/2021
862265842,6391087154,2021,8750000,138,9006,Juldagan,700,Bolig,4,28/06/2021
862265845,6391087153,2021,2590000,36,9006,Juldagan,700,Bolig,1,07/07/2021
862265851,6391087301,2021,6150000,84,9006,Juldagan,700,Bolig,3,24/06/2021
862265854,6391087300,2021,3610000,56,9006,Juldagan,700,Bolig,2,28/06/2021
862265857,6391087159,2021,8890000,138,9006,Juldagan,700,Bolig,4,24/06/2021
862265860,6391087158,2021,2690000,36,9006,Juldagan,700,Bolig,1,24/06/2021
862265866,6391087304,2021,11050000,140,9006,Juldagan,700,Bolig,4,28/06/2021
862265878,6391087306,2021,13990000,174,9006,Juldagan,700,Bolig,6,07/07/2021
862265884,6391083655,2021,4610000,75,9006,Juldagan,700,Bolig,3,08/10/2021
862265887,6391083654,2021,1990000,36,9006,Juldagan,700,Bolig,1,24/06/2021
862265890,6391083653,2022,5210000,82,9006,Juldagan,700,Bolig,3,03/05/2022
862265893,6391083658,2021,4750000,75,9006,Juldagan,700,Bolig,3,24/06/2021
862265896,6391083657,2021,2690000,49,9006,Juldagan,700,Bolig,2,24/06/2021
862265899,6391083656,2021,5850000,97,9006,Juldagan,700,Bolig,4,30/06/2021
862265902,6391085031,2021,4850000,76,9006,Juldagan,700,Bolig,3,28/06/2021
862265905,6391085030,2021,2790000,49,9006,Juldagan,700,Bolig,2,28/06/2021
862265908,6391083659,2021,5650000,98,9006,Juldagan,700,Bolig,4,24/06/2021
862265911,6391085034,2021,4890000,76,9006,Juldagan,700,Bolig,3,24/06/2021
862265914,6391085033,2021,2850000,49,9006,Juldagan,700,Bolig,2,24/06/2021
862265917,6391085032,2021,5750000,98,9006,Juldagan,700,Bolig,4,24/06/2021
862265920,6391085037,2021,5050000,76,9006,Juldagan,700,Bolig,3,24/06/2021
862265923,6391085036,2021,3200000,49,9006,Juldagan,700,Bolig,2,24/06/2021
862265926,6391085035,2021,5850000,98,9006,Juldagan,700,Bolig,4,08/10/2021
862265929,6391085270,2021,5090000,76,9006,Juldagan,700,Bolig,3,28/06/2021
862265932,6391085039,2021,3250000,49,9006,Juldagan,700,Bolig,2,28/06/2021
862265935,6391085038,2021,6190000,98,9006,Juldagan,700,Bolig,4,30/06/2021
862265938,6391085273,2021,5590000,76,9006,Juldagan,700,Bolig,3,07/07/2021
862265941,6391085272,2021,3300000,49,9006,Juldagan,700,Bolig,2,24/06/2021
862265944,6391085271,2021,5790000,98,9006,Juldagan,700,Bolig,4,30/06/2021
862265947,6391085276,2021,5390000,76,9006,Juldagan,700,Bolig,3,24/06/2021
862265950,6391085275,2021,3410000,49,9006,Juldagan,700,Bolig,2,24/06/2021
862265953,6391085274,2021,6150000,89,9006,Juldagan,700,Bolig,4,28/06/2021
862265956,6391085279,2021,5490000,77,9006,Juldagan,700,Bolig,3,30/06/2021
862265959,6391085278,2021,3510000,48,9006,Juldagan,700,Bolig,2,28/06/2021
862265962,6391085277,2021,6250000,89,9006,Juldagan,700,Bolig,4,28/06/2021
862265965,6394524202,2021,347000,35,9006,Juldagan,700,Annet en bolig,2,29/10/2021
862266467,6423128190,2021,9490000,118,9006,Juldagan,59,Bolig,4,08/10/2021
958305968,6391089312,2022,4840000,76,9006,Juldagan,260,Bolig,3,09/02/2022
958305971,6391089311,2022,2840000,36,9006,Juldagan,260,Bolig,1,24/01/2022
958305974,6391089310,2023,5990000,93,9006,Juldagan,260,Bolig,4,07/07/2023
958305977,6409552313,2022,5100000,76,9006,Juldagan,260,Bolig,3,31/01/2022
958305980,6391089315,2022,2830000,36,9006,Juldagan,260,Bolig,2,24/01/2022
958305983,6391089314,2022,2200000,32,9006,Juldagan,260,Bolig,1,24/01/2022
958305986,6391089313,2022,4540000,72,9006,Juldagan,260,Bolig,3,19/09/2022
958305989,6409552314,2022,4740000,76,9006,Juldagan,260,Bolig,3,24/01/2022
958305992,6391089318,2022,2440000,36,9006,Juldagan,260,Bolig,2,02/09/2022
958305995,6391089317,2022,2300000,32,9006,Juldagan,260,Bolig,1,23/02/2022
958305998,6391089316,2022,4850000,72,9006,Juldagan,260,Bolig,3,28/09/2022
958306001,6409552315,2022,4840000,76,9006,Juldagan,260,Bolig,3,24/01/2022
958306004,6391090001,2022,2490000,36,9006,Juldagan,260,Bolig,2,24/01/2022
958306007,6391090000,2022,2350000,32,9006,Juldagan,260,Bolig,1,24/01/2022
958306010,6391089319,2022,4740000,72,9006,Juldagan,260,Bolig,3,10/02/2022
958306013,6409552316,2022,5240000,76,9006,Juldagan,260,Bolig,3,07/02/2022
958306016,6391090004,2022,2590000,36,9006,Juldagan,260,Bolig,2,03/03/2022
958306019,6391090003,2022,2450000,32,9006,Juldagan,260,Bolig,1,25/01/2022
958306022,6391090002,2022,4990000,72,9006,Juldagan,260,Bolig,3,25/01/2022
958306025,6409552317,2022,5340000,76,9006,Juldagan,260,Bolig,3,25/01/2022
958306028,6391090007,2022,2690000,36,9006,Juldagan,260,Bolig,2,25/01/2022
958306031,6391090006,2022,2700000,32,9006,Juldagan,260,Bolig,1,25/01/2022
958306034,6391090005,2022,4940000,72,9006,Juldagan,260,Bolig,3,03/03/2022
958306037,6409552318,2022,5440000,76,9006,Juldagan,260,Bolig,3,25/01/2022
958306040,6391090140,2022,2790000,36,9006,Juldagan,260,Bolig,2,25/01/2022
958306043,6391090009,2022,2950000,32,9006,Juldagan,260,Bolig,1,25/01/2022
958306046,6391090008,2022,5330000,72,9006,Juldagan,260,Bolig,3,27/09/2022
958306049,6409552319,2022,5240000,76,9006,Juldagan,260,Bolig,3,25/01/2022
958306052,6391090143,2022,2850000,36,9006,Juldagan,260,Bolig,2,25/01/2022
958306055,6391090142,2022,2860000,32,9006,Juldagan,260,Bolig,1,25/01/2022
958306058,6391090141,2022,5390000,72,9006,Juldagan,260,Bolig,3,21/09/2022
958306061,6409555660,2022,5490000,76,9006,Juldagan,260,Bolig,3,24/01/2022
958306064,6391090146,2022,2950000,36,9006,Juldagan,260,Bolig,2,25/01/2022
958306067,6391090145,2022,2960000,32,9006,Juldagan,260,Bolig,1,25/01/2022
958306070,6391090144,2022,5590000,72,9006,Juldagan,260,Bolig,3,28/01/2022
4201579,60934717,2022,3830000,96,9024,Tomasjordnes,1159,Bolig,4,06/09/2022
4215827,60941801,2022,200000,10,9024,Tomasjordnes,543,Annet en bolig,0,30/08/2022
264341459,60941784,2022,2900000,43,9024,Tomasjordnes,543,Bolig,2,23/08/2022
4141847,60956714,2022,3200000,71,9008,Vestregata,0,Bolig,2,30/08/2022
3133498,61154605,2020,0,57,9103,Lyfjordelvvegen,0,Bolig,2,30/07/2020
234454229,61089548,2020,0,92,9024,Planetvegen,0,Bolig,3,07/05/2020
234454061,61085494,2020,2500000,87,9022,Malmvegen,0,Bolig,2,17/06/2020
234454061,61085494,2020,2500000,87,9022,Malmvegen,0,Bolig,2,17/06/2020
234453991,61087027,2019,3220000,156,9022,Malmvegen,0,Bolig,4,11/09/2019
234616988,60956638,2022,1000000,65,9007,Hjalmar Johansens gate,502,Bolig,2,04/02/2022
4178470,60930142,2020,3500000,52,9016,Stallovegen,0,Bolig,2,01/10/2020
234456479,60931761,2019,1780000,45,9006,Balsfjordvinden,0,Bolig,2,29/04/2019
234456479,60931761,2019,1780000,45,9006,Balsfjordvinden,0,Bolig,2,29/04/2019
234612690,60953828,2019,0,30,9007,Hjalmar Johansens gate,677,Bolig,1,21/10/2019
4119429,60901359,2020,5150000,117,9020,Skavåsen,0,Bolig,4,28/07/2020
4099128,60844000,2021,3520000,75,9011,Conrad Holmboes veg,0,Bolig,3,02/02/2021
234455577,60975713,2022,3710000,82,9014,Winston Churchills veg,0,Bolig,4,24/05/2022
234455577,60975713,2022,3710000,82,9014,Winston Churchills veg,0,Bolig,4,24/05/2022
234453167,60786299,2021,3370000,92,9018,Varden,0,Bolig,3,24/09/2021
234453167,60786299,2021,3370000,92,9018,Varden,0,Bolig,3,24/09/2021
234452788,61046109,2023,2850000,89,9018,Knausen,0,Bolig,3,01/02/2023
234272718,60981005,2021,2115000,27,9012,Gitta Jønssons veg,0,Bolig,2,16/08/2021
234272718,60981005,2023,2200000,27,9012,Gitta Jønssons veg,0,Bolig,2,05/10/2023
234456310,61083628,2019,2300000,50,9022,Malmvegen,0,Bolig,2,08/08/2019
4239005,60991880,2019,4400000,79,9007,Alfheimvegen,0,Bolig,4,18/09/2019
234608498,60909027,2020,2560000,69,9013,Alaskasvingen,0,Bolig,3,06/07/2020
280575602,508378397,2020,3000000,47,9024,Tomasjordnes,1064,Bolig,2,17/09/2020
904734907,6251758210,2022,2080000,105,9008,Vestregata,612,Annet en bolig,2,15/06/2022
904734925,6251756980,2021,4380000,75,9008,Parkgata,612,Bolig,3,15/11/2021
904734928,6251756981,2021,6100000,94,9008,Parkgata,612,Bolig,3,12/11/2021
904734931,6251756982,2021,4450000,67,9008,Parkgata,612,Bolig,3,15/11/2021
904734934,6251756983,2021,2825000,38,9008,Parkgata,612,Bolig,1,15/12/2021
904734937,6251756984,2022,4450000,75,9008,Parkgata,612,Bolig,3,11/01/2022
904734940,6251756985,2022,6700000,112,9008,Parkgata,612,Bolig,4,20/06/2022
904734943,6251756986,2021,3200000,48,9008,Parkgata,612,Bolig,2,09/11/2021
904734946,6251756987,2021,3200000,48,9008,Parkgata,612,Bolig,1,06/12/2021
904734949,6251758018,2021,3200000,48,9008,Parkgata,612,Bolig,2,12/11/2021
904734952,6251756988,2021,4700000,80,9008,Parkgata,612,Bolig,3,15/12/2021
904734955,6251758009,2021,2990000,48,9008,Parkgata,612,Bolig,2,15/11/2021
904734958,6251758011,2021,6200000,93,9008,Parkgata,612,Bolig,3,15/11/2021
904734961,6251758012,2021,6300000,89,9008,Parkgata,612,Bolig,3,12/11/2021
904734964,6251758013,2021,3400000,47,9008,Parkgata,612,Bolig,2,09/11/2021
904734967,6251758014,2021,3575000,48,9008,Parkgata,612,Bolig,1,15/11/2021
904734970,6251758015,2021,3400000,48,9008,Parkgata,612,Bolig,2,12/11/2021
