REGISTERENHETID,BRUKSENHETSID,SALGS_DOKUMENTAAR,SALGSBELOEP,BRUKSAREAL,POSTNUMMER,GATENAVN,BEBYGDAREAL,BRUKSENHETSTYPEKODE,ANTALLROM,DOKUMENTDATO
234597195,60953755,2023,2100000,60,9007,Hjalmar Johansens gate,264,Bolig,3,19/09/2023
294874939,534189712,2021,3470000,63,9022,Gullvegen,708,Bolig,3,29/07/2021
4137244,60818299,2020,3290000,120,9102,Skavstien,0,Bolig,3,07/09/2020
4137244,60818299,2020,3290000,120,9102,Skavstien,0,Bolig,3,07/09/2020
416241255,581968404,2021,5650000,155,9020,Kaldslettneset,89,Bolig,5,02/12/2021
254759799,368266078,2020,4450000,98,9006,Balsfjordvinden,388,Bolig,3,03/07/2020
234454444,60931623,2023,1970000,42,9006,Sjøstranda,427,Bolig,2,02/03/2023
234596565,60943381,2019,1850000,65,9013,Wanny Woldstads veg,0,Bolig,3,23/01/2019
234596565,60943381,2019,1850000,65,9013,Wanny Woldstads veg,0,Bolig,3,23/01/2019
234601035,60948545,2023,1770000,87,9013,Wanny Woldstads veg,648,Bolig,3,17/04/2023
